时间,商品名称,库存变化,单笔销量
2026-03-27 14:08:03,A-日本地址,初始销量: 0,0
2026-03-27 14:08:03,A-国际地址,初始销量: 0,0
2026-03-27 14:08:03,A-中国地址,初始销量: 0,0
2026-03-27 14:08:03,A-韩国地址,初始销量: 0,0
2026-03-27 14:08:03,B-日本地址,初始销量: 0,0
2026-03-27 14:08:03,B-国际地址,初始销量: 0,0
2026-03-27 14:08:03,B-中国地址,初始销量: 0,0
2026-03-27 14:08:03,B-韩国地址,初始销量: 0,0
2026-03-27 14:08:03,C-日本地址,初始销量: 0,0
2026-03-27 14:08:03,C-国际地址,初始销量: 0,0
2026-03-27 14:08:03,C-中国地址,初始销量: 0,0
2026-03-27 14:08:03,C-韩国地址,初始销量: 0,0
2026-03-27 14:09:25,A-韩国地址,0->-1,1
2026-03-27 14:09:25,B-韩国地址,0->-1,1
2026-03-27 14:09:25,C-韩国地址,0->-1,1
2026-03-27 14:10:30,A-日本地址,0->-1,1
2026-03-27 14:10:30,A-韩国地址,-1->-3,2
2026-03-27 14:12:41,A-韩国地址,-3->-4,1
2026-03-27 14:13:46,A-韩国地址,-4->-12,8
2026-03-27 14:13:46,B-韩国地址,-1->-8,7
2026-03-27 14:13:46,C-韩国地址,-1->-8,7
2026-03-27 14:14:51,A-韩国地址,-12->-14,2
2026-03-27 14:14:51,B-韩国地址,-8->-9,1
2026-03-27 14:14:51,C-韩国地址,-8->-9,1
2026-03-27 14:15:57,A-韩国地址,-14->-17,3
2026-03-27 14:15:57,B-韩国地址,-9->-10,1
2026-03-27 14:15:57,C-韩国地址,-9->-10,1
2026-03-27 14:17:02,A-日本地址,-1->-3,2
2026-03-27 14:17:02,A-韩国地址,-17->-19,2
2026-03-27 14:17:02,B-日本地址,0->-1,1
2026-03-27 14:17:02,B-韩国地址,-10->-12,2
2026-03-27 14:17:02,C-日本地址,0->-1,1
2026-03-27 14:17:02,C-韩国地址,-10->-13,3
2026-03-27 14:18:07,A-韩国地址,-19->-21,2
2026-03-27 14:19:13,A-日本地址,-3->-4,1
2026-03-27 14:19:13,A-韩国地址,-21->-22,1
2026-03-27 14:19:13,B-日本地址,-1->-3,2
2026-03-27 14:19:13,B-韩国地址,-12->-13,1
2026-03-27 14:19:13,C-韩国地址,-13->-14,1
2026-03-27 14:20:18,A-日本地址,-4->-6,2
2026-03-27 14:20:18,A-韩国地址,-22->-27,5
2026-03-27 14:20:18,B-日本地址,-3->-5,2
2026-03-27 14:20:18,B-韩国地址,-13->-18,5
2026-03-27 14:20:18,C-日本地址,-1->-4,3
2026-03-27 14:20:18,C-韩国地址,-14->-19,5
2026-03-27 14:21:23,A-韩国地址,-27->-32,5
2026-03-27 14:21:23,B-韩国地址,-18->-23,5
2026-03-27 14:21:23,C-韩国地址,-19->-25,6
2026-03-27 14:22:29,A-日本地址,-6->-8,2
2026-03-27 14:22:29,A-韩国地址,-32->-35,3
2026-03-27 14:22:29,B-日本地址,-5->-6,1
2026-03-27 14:22:29,B-韩国地址,-23->-25,2
2026-03-27 14:22:29,C-日本地址,-4->-5,1
2026-03-27 14:22:29,C-韩国地址,-25->-27,2
2026-03-27 14:23:34,A-韩国地址,-35->-40,5
2026-03-27 14:23:34,B-韩国地址,-25->-27,2
2026-03-27 14:23:34,C-韩国地址,-27->-30,3
2026-03-27 14:24:39,A-日本地址,-8->-10,2
2026-03-27 14:24:39,A-韩国地址,-40->-45,5
2026-03-27 14:24:39,B-日本地址,-6->-8,2
2026-03-27 14:24:39,B-韩国地址,-27->-30,3
2026-03-27 14:24:39,C-日本地址,-5->-6,1
2026-03-27 14:24:39,C-韩国地址,-30->-32,2
2026-03-27 14:25:44,A-日本地址,-10->-12,2
2026-03-27 14:25:44,A-韩国地址,-45->-47,2
2026-03-27 14:25:44,B-日本地址,-8->-9,1
2026-03-27 14:25:44,B-韩国地址,-30->-31,1
2026-03-27 14:25:44,C-韩国地址,-32->-34,2
2026-03-27 14:29:00,A-韩国地址,-47->-48,1
2026-03-27 14:29:00,B-韩国地址,-31->-32,1
2026-03-27 14:29:00,C-韩国地址,-34->-35,1
2026-03-27 14:30:06,A-韩国地址,-48->-52,4
2026-03-27 14:30:06,B-韩国地址,-32->-35,3
2026-03-27 14:30:06,C-韩国地址,-35->-38,3
2026-03-27 14:31:11,A-韩国地址,-52->-53,1
2026-03-27 14:32:16,A-韩国地址,-53->-56,3
2026-03-27 14:32:16,B-韩国地址,-35->-38,3
2026-03-27 14:32:16,C-韩国地址,-38->-39,1
2026-03-27 14:33:22,A-韩国地址,-56->-58,2
2026-03-27 14:33:22,B-韩国地址,-38->-40,2
2026-03-27 14:33:22,C-韩国地址,-39->-42,3
2026-03-27 14:34:27,B-韩国地址,-40->-39,-1
2026-03-27 14:34:27,C-韩国地址,-42->-40,-2
2026-03-27 14:35:32,A-韩国地址,-58->-60,2
2026-03-27 14:35:32,B-韩国地址,-39->-40,1
2026-03-27 14:35:32,C-韩国地址,-40->-42,2
2026-03-27 14:36:38,A-日本地址,-12->-13,1
2026-03-27 14:36:38,A-韩国地址,-60->-64,4
